"","Zip.Code","n"
"1",20910,3929
"2",20902,3786
"3",20904,3336
"4",20874,3073
"5",20850,2739
"6",20906,2737
"7",20877,2676
"8",20878,2513
"9",20852,2225
"10",20901,2065
"11",20912,1798
"12",20814,1797
"13",20876,1565
"14",20886,1551
"15",20817,1348
"16",20879,1205
"17",20903,1145
"18",20854,1055
"19",20815,1009
"20",20895,863
"21",20853,841
"22",20832,764
"23",20851,721
"24",20855,660
"25",20866,645
"26",20905,483
"27",20871,469
"28",20872,401
"29",20816,395
"30",20882,266
"31",20833,190
"32",20837,183
"33",20841,168
"34",20860,81
"35",20892,56
"36",20842,53
"37",20861,53
"38",NA,46
"39",20818,29
"40",20896,26
"41",20868,23
"42",21771,18
"43",20812,13
"44",20707,11
"45",20880,10
"46",20839,9
"47",20889,9
"48",20783,7
"49",20862,7
"50",20705,6
"51",20838,3
"52",20899,3
"53",20012,2
"54",20993,2
"55",2079,1
"56",2814,1
"57",20724,1
"58",20777,1
"59",20782,1
