ML#,City,State,Zip 4,Zip Code,List Price,Original List Price,Close Price,Advertised Subdivision,Legal Subdivision,Status,Close Date,DOMM,DOMP,Baths All,Baths Half,Baths Full,Bedrooms,Condo Coop Fee,Cooling,Dining Kitchen,Farm,Fireplaces,Heating,HOA,HOA Fee,Lot Sqft,Total Square Footage,Townhouse Type,Type,Parking
MC8320294,CHEVY CHASE,MD,4458,20815,8750000,8750000,8650000,PARC SOMERSET CODM,PARC SOMERSET CODM,SOLD,4/15/2014,0,0,4,0,4,4,5010,Heat Pump(s),Sep Dining Rm,FALSE,1,Forced Air,FALSE,,,3400,,Hi-Rise 9+ Floors,Garage
MC8291029,BETHESDA,MD,3026,20817,7500000,5995000,7350000,BRADLEY HILLS GROVE,BRADLEY HILLS GROVE,SOLD,6/12/2014,19,343,9,2,7,6,,"Ceiling Fan(s), Central Air Conditioning, Programmable Thermostat, Zoned","Breakfast Room, Gourmet, Kit-Breakfast Bar, Kit-Island",FALSE,5,"Central, Forced Air, Zoned",FALSE,,124058,0,,Detached,"Garage, Paved Driveway"
MC7919334,POTOMAC,MD,,20854,4995000,5995000,4400000,CAMOTOP,CAMOTOP,SOLD,4/1/2014,524,524,13,3,10,9,,"Central Air Conditioning, Zoned","2nd Kitchen, Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Country, Kit-Island, Sep Dining Rm",FALSE,5,"Central, Forced Air, Zoned",FALSE,,90169,18500,,Detached,Garage
MC8246857,BETHESDA,MD,3065,20817,4495000,4795000,4200000,BRADLEY HILLS GROVE,BRADLEY HILLS GROVE,SOLD,6/12/2014,106,106,11,1,10,8,,Zoned,"Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,5,"Forced Air, Zoned",FALSE,,42974,12000,,Detached,Garage
MC8312324,BETHESDA,MD,4581,20817,4495000,4495000,4350000,POTOMAC OUTSIDE,POTOMAC OUTSIDE,SOLD,6/26/2014,10,10,10,3,7,5,,"Central Air Conditioning, Zoned","Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,6,"Central, Forced Air, Zoned",FALSE,,87120,11783,,Detached,"DW - Circular, Garage"
MC8054439,BETHESDA,MD,2258,20816,4490000,5500000,4100000,GLEN ECHO HEIGHTS,GLEN ECHO HEIGHTS,SOLD,2/28/2014,243,243,8,1,7,5,,"Central Air Conditioning, Zoned","Gourmet, Kit-Island, Kit-Living Combo, Liv-Din Combo",FALSE,4,"Forced Air, Programmable Thermostat, Hydronic Radiant Floors, Zoned",FALSE,,35658,5116,,Detached,"Drvwy/Off Str, Garage, Private 1-10 Spaces, Garage Door Opener, Gravel Driveway"
MC8279246,BETHESDA,MD,3065,20817,4200000,4200000,4000000,BRADLEY HILLS GROVE,BRADLEY HILLS GROVE,SOLD,6/2/2014,26,26,7,1,6,5,,"Central Air Conditioning, Ceiling Fan(s), Zoned","Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,4,"Forced Air, Zoned",FALSE,,30755,8800,,Detached,"Garage, Garage Door Opener"
MC8312867,CHEVY CHASE,MD,6660,20815,4200000,4200000,3900000,KENWOOD,KENWOOD,SOLD,6/18/2014,31,31,8,2,6,6,,"Central Air Conditioning, Ceiling Fan(s), Zoned","Kit-Island, Sep Dining Rm",FALSE,5,Forced Air,FALSE,,18481,0,,Detached,"Drvwy/Off Str, Garage, Garage Door Opener, Faces Rear"
MC7956037,POTOMAC,MD,1956,20854,3995000,4250000,3300000,POTOMAC OUTSIDE,POTOMAC OUTSIDE,SOLD,4/8/2014,442,442,10,2,8,5,,"Central Air Conditioning, Zoned","Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,3,"Forced Air, Zoned",TRUE,747,217800,8500,,Detached,Garage
MC8020936,CHEVY CHASE,MD,4208,20815,3595000,3595000,3310000,CHEVY CHASE,CHEVY CHASE SEC 2,SOLD,4/3/2014,294,294,8,2,6,6,,"Central Air Conditioning, Zoned","Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,3,"Baseboard, Forced Air, Hydronic Radiant Floors, Radiator, Zoned",FALSE,,11583,0,,Detached,"Garage, Shared Driveway"
MC8248062,BETHESDA,MD,4581,20817,3500000,3500000,3200000,COUNTRY CLUB,POTOMAC OUTSIDE,SOLD,4/1/2014,10,10,9,2,7,6,,"Central Air Conditioning, Ceiling Fan(s), Zoned","Kit-Island, Fam Rm Off Kit, Breakfast Room, Gourmet, Sep Dining Rm",FALSE,6,"Forced Air, Zoned",FALSE,,87556,0,,Detached,"DW - Circular, Garage"
MC8057015,CHEVY CHASE,MD,6503,20815,3495000,3495000,3065000,KENWOOD,KENWOOD,SOLD,3/14/2014,238,238,6,2,4,6,,"Central Air Conditioning, Zoned","Breakfast Room, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,5,"Central, Forced Air, Zoned",FALSE,,15850,0,,Detached,Garage
MC8247479,POTOMAC,MD,4743,20854,3495000,3495000,2880000,FALCONHURST,FALCONHURST,SOLD,2/4/2014,0,916,7,0,7,4,,"Ceiling Fan(s), Central Air Conditioning, Zoned","2nd Kitchen, Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Island, Kit-Table Space, Sep Dining Rm",FALSE,4,"Forced Air, Heat Pump(s), Zoned",FALSE,,87120,12332,,Detached,"DW - Circular, Garage, Faces Side, Garage Door Opener"
MC8292722,CHEVY CHASE,MD,5521,20815,3395000,3395000,3395000,SOMERSET HEIGHTS,SOMERSET HEIGHTS,SOLD,6/30/2014,5,5,6,1,5,5,,"Central Air Conditioning, Geothermal Heat Pump, Zoned","Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,2,"Forced Air, Central, Geothermal Heat Pump, Programmable Thermostat, Zoned",FALSE,,8750,6300,,Detached,Garage
MC8305158,BETHESDA,MD,1243,20814,3300000,3300000,3030000,EDGEMOOR,EDGEMOOR,SOLD,6/11/2014,23,23,5,1,4,4,,Central Air Conditioning,"Gourmet, Sep Dining Rm, Eat-In Kitchen",FALSE,2,Forced Air,FALSE,,24681,0,,Detached,DW - Circular
MC8308081,CHEVY CHASE,MD,6505,20815,3237000,3237000,3100000,KENWOOD,KENWOOD,SOLD,6/11/2014,10,10,7,1,6,8,,Central Air Conditioning,"2nd Kitchen, Butlers Pantry, Gourmet, Kit-Island, Kit-Table Space, Sep Dining Rm, Eat-In Kitchen",FALSE,3,"Programmable Thermostat, Central",FALSE,,18158,0,,Detached,"DW - Circular, Garage"
MC8285549,CHEVY CHASE,MD,4454,20815,2950000,2950000,2850000,PARC SOMERSET CODM,PARC SOMERSET CODM,SOLD,4/11/2014,18,18,3,0,3,3,1903,Central Air Conditioning,"Breakfast Room, Kit-Breakfast Bar, Kit-Island, Kit-Table Space, Sep Dining Rm",FALSE,1,Forced Air,FALSE,,,2498,,Hi-Rise 9+ Floors,Garage
MC8265984,CHEVY CHASE,MD,4255,20815,2845000,2845000,2652500,CHEVY CHASE SEC 2,CHEVY CHASE SEC 2,SOLD,3/21/2014,0,194,7,1,6,8,,Central Air Conditioning,Gourmet,FALSE,4,Heat Pump(s),FALSE,,15359,7500,,Detached,Drvwy/Off Str
MC8326283,POTOMAC,MD,4453,20854,2745000,2745000,2500000,KENTSDALE ESTATES,KENTSDALE ESTATES,SOLD,6/20/2014,29,886,9,3,6,5,,"Central Air Conditioning, Ceiling Fan(s), Zoned","Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Family Combo, Kit-Island, Eat-In Kitchen",FALSE,4,"Central, Forced Air",FALSE,,90605,0,,Detached,"Garage, DW - Circular, Garage Door Opener, Paved Driveway"
MC8257339,CHEVY CHASE,MD,4454,20815,2695000,2695000,2850000,SOMERSET,PARC SOMERSET CODM,SOLD,2/1/2014,4,4,3,0,3,3,1903,Central Air Conditioning,"Breakfast Room, Kit-Breakfast Bar, Kit-Island, Kit-Table Space, Sep Dining Rm",FALSE,1,Forced Air,FALSE,,,2498,,Hi-Rise 9+ Floors,Garage
