ML#,City,Zip Code,List Price,Original List Price,Close Price,Legal Subdivision,Status,Date Quarter,Close Date,DOMM,DOMP,Baths All,Bedrooms,Condo Coop Fee,HOA Fee,Lot Sqft,Total Square Footage,Type,Parking,Has Garage
MC8200906,BETHESDA,20817,1225000,1225000,1175000,BURNING TREE VALLEY,SOLD,1,1/1/2014,4,4,3,3,,,37967,3256,Detached,Garage,TRUE
MC8213886,BETHESDA,20817,799000,799000,799000,COHASSET,SOLD,1,1/2/2014,13,13,3,4,,,10414,0,Detached,"Drvwy/Off Str, Garage",TRUE
MC8200154,GARRETT PARK,20896,759900,759900,720000,GARRETT PARK,SOLD,1,1/2/2014,39,39,2,4,,,6667,0,Detached,"Paved Driveway, Street",FALSE
MC8211706,GAITHERSBURG,20877,595000,595000,565000,MONTGOMERY VILL A-Z,SOLD,1,1/2/2014,35,70,5,4,,165,10323,0,Detached,"Garage, Drvwy/Off Str, Paved Driveway",TRUE
MC8210090,GERMANTOWN,20874,565000,565000,560000,CLOPPERS MILL WEST,SOLD,1,1/2/2014,9,9,4,4,,48.5,8318,0,Detached,Garage,TRUE
MC8173630,GAITHERSBURG,20878,559900,579000,555000,KENTLANDS HILL DISTRICT,SOLD,1,1/2/2014,52,54,3,4,,110,2000,2650,Townhouse,Garage,TRUE
MC8232773,TAKOMA PARK,20912,539900,539900,535000,TAKOMA PARK,SOLD,1,1/2/2014,3,3,2,3,,,4775,0,Detached,"Garage, Drvwy/Off Str",TRUE
MC8198478,ROCKVILLE,20855,447500,447500,427500,OLNEY OUT RES (2),SOLD,1,1/2/2014,71,71,3,4,,,33599,2530,Detached,"Drvwy/Off Str, Garage",TRUE
MC8195720,ROCKVILLE,20852,425000,450000,415000,MONTROSE PARK,SOLD,1,1/2/2014,25,32,2,4,,,7800,0,Detached,Drvwy/Off Str,FALSE
MC8174395,CLARKSBURG,20871,409990,422990,411630,,SOLD,1,1/2/2014,52,52,4,3,,76,1400,2120,Townhouse,Garage,TRUE
MC9003212,POTOMAC,20854,299000,309000,293000,RIVER FALLS CODM,SOLD,1,1/2/2014,55,55,1,2,259.2,,,937,Garden 1-4 Floors,Assigned,FALSE
MC8189893,SILVER SPRING,20902,249900,249900,250000,WESTWOOD GARDEN CODM,SOLD,1,1/2/2014,19,19,1,1,230,0,,1028,Garden 1-4 Floors,"Free, Surface, Unassigned",FALSE
MC8186586,BETHESDA,20817,1999000,1999000,1971243,PINEVIEW,SOLD,1,1/3/2014,25,229,6,6,,,12086,0,Detached,Garage,TRUE
MC9003503,BETHESDA,20816,1995000,1995000,1995000,SUMNER,SOLD,1,1/3/2014,20,20,6,6,,,9002,0,Detached,Garage,TRUE
MC8199523,BETHESDA,20816,1875000,1950000,1850000,WESTMORELAND HILLS,SOLD,1,1/3/2014,30,30,5,6,,,7207,5000,Detached,Garage,TRUE
MC8209101,POTOMAC,20854,1299000,1465000,1315000,POTOMAC OUTSIDE,SOLD,1,1/3/2014,24,29,4,5,,,103673,5548,Detached,Garage,TRUE
MC8179961,BETHESDA,20814,1099000,1175000,1020000,BATTERY PARK,SOLD,1,1/3/2014,16,16,4,4,,,6517,2798,Detached,"Drvwy/Off Str, Garage",TRUE
MC8169232,GAITHERSBURG,20878,999990,1125000,980000,WILLOW RIDGE,SOLD,1,1/3/2014,68,68,5,4,,145,14146,6736,Detached,Garage,TRUE
MC8067569,POTOMAC,20854,935000,985000,925000,POTOMAC RANCH,SOLD,1,1/3/2014,170,170,4,4,,0,87120,0,Detached,"Drvwy/Off Str, Garage, Paved Driveway, Faces Side, Garage Door Opener",TRUE
MC8209625,GAITHERSBURG,20882,819000,819000,775000,LAYTONSVILLE OUTSIDE,SOLD,1,1/3/2014,14,81,5,5,,,207781,8332,Detached,"Shared Driveway, Garage Door Opener, Asphalt Driveway",TRUE
MC8174403,KENSINGTON,20895,799000,799000,785000,KENSINGTON ORCHIDS,SOLD,1,1/3/2014,81,81,4,5,,80,6177,0,Detached,"Garage, Drvwy/Off Str",TRUE
MC8075733,SANDY SPRING,20860,784990,784990,793945,,SOLD,1,1/3/2014,181,181,4,4,,110,42041,3730,Detached,Garage,TRUE
MC8169512,GARRETT PARK,20896,699900,749900,701000,GARRETT PARK,SOLD,1,1/3/2014,89,89,3,4,,,7372,0,Detached,"Drvwy/Off Str, Paved Driveway",FALSE
MC8225506,TAKOMA PARK,20912,649900,649900,663000,TAKOMA PARK,SOLD,1,1/3/2014,6,6,3,3,,,7643,2200,Detached,Shared Driveway,FALSE
MC8233819,BETHESDA,20814,600000,600000,600000,GLENBROOK VILLAGE,SOLD,1,1/3/2014,0,0,3,4,,,5065,0,Detached,Drvwy/Off Str,FALSE
MC8186761,SILVER SPRING,20904,590000,590000,570000,DRUMELDRA HILLS,SOLD,1,1/3/2014,70,70,3,4,,,22167,0,Detached,"Garage, Drvwy/Off Str",TRUE
MC9004293,ROCKVILLE,20852,575000,599000,575000,MONTROSE,SOLD,1,1/3/2014,39,39,2,3,,,8471,2456,Detached,Drvwy/Off Str,FALSE
