School_Number,School_Name,Attendance_Rate,Drop_Out_Rate,Graduation_Rate,Students_Meeting_University_System_of_Maryland_Requirements,Zip
424,Walter Johnson HS + Bethesda-Chevy Chase,95%,5%,95%,82.60%,20814
427,Walt Whitman HS,95%,5%,95%,86.10%,20817
152,Poolesville HS,95%,5%,95%,90.40%,20837
234,Thomas S. Wootton HS,95%,5%,95%,90.20%,20850
230,Rockville HS,95%,6.50%,85.70%,79.40%,20851
201,Richard Montgomery HS,95%,5.90%,89.30%,76.30%,20852
602,Winston Churchill HS,95%,5%,95%,94.50%,20854
510,Col. Zadok Magruder HS,94%,6.20%,88.60%,73.10%,20855
503,Sherwood HS,95%,5%,92.90%,85.20%,20860
315,Paint Branch HS,95%,8.10%,87.50%,71.70%,20866
249,Clarksburg HS,95%,6.50%,88.60%,71.80%,20871
701,Damascus HS,95%,5%,92.30%,82.70%,20872
246,Northwest HS + Seneca Valley,94.00%,6.70%,86.30%,76.70%,20874
551,Gaithersburg HS,92.40%,10.10%,76.90%,64.90%,20877
125,Quince Orchard HS,94.70%,5%,88.30%,82.70%,20878
545,Watkins Mill HS,92.80%,5.10%,85.30%,62.80%,20879
789,Albert Einstein HS,93.70%,12.10%,79.50%,61.80%,20895
796,Northwood HS + Blair,93.80%,11.25%,83.50%,76.60%,20901
815,John F. Kennedy HS,93.40%,8.80%,81.50%,66.80%,20902
798,Springbrook HS,94.20%,11.10%,81.50%,71.90%,20904
321,James Hubert Blake HS,95%,6.60%,88.60%,80.30%,20905
782,Wheaton HS,94%,12.60%,76.10%,65.40%,20906
,,,,,,
,,,,,,
,,,,,,
 ,,,,,,
