Zip.Code,ROB FIREARM - STREET,AGG ASSLT FIREARM CITIZEN,BURG FORCE-RES/NIGHT,LARCENY PICK POCKET,AUTO THEFT - PASSENGER VEHICLE,ASSAULT & BATTERY - CITIZEN,VANDALISM-MOTOR VEHICLE,WEAPON POSSESSION HANDGUN,SEX OFFENSE - SEX  ASSAULT,drug,FAMILY OFFENSE - ABUSE/CHILD,JUVENILE RUNAWAY,LIQUOR - UNLAWFUL POSS UNDER 21,DISORDERLY CONDUCT,SUICIDE - POISON/OVERDOSE,LITTERING/TRASH DUMPING,TRESPASSING,HARASSMENT/STALKING,DRIVING UNDER THE INFLUENCE,FIRE OTHER,POL INFORMATION,LOST PROPERTY,RECOVERED PROPERTY/MONT. CO.
20812,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
20814,10,4,95,549,15,77,85,4,2,63,3,5,40,97,11,1,15,5,246,18,70,72,26
20815,8,2,48,401,13,21,38,5,1,34,5,5,7,9,11,0,2,6,61,12,44,26,17
20816,1,1,27,169,1,10,24,0,0,5,1,0,2,0,3,0,1,0,5,1,28,9,1
20817,11,2,51,529,7,32,72,3,5,45,2,7,8,2,6,0,4,8,32,11,62,66,13
20818,0,0,0,9,0,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0
20832,3,8,36,204,5,45,55,4,5,52,5,6,25,7,6,0,4,3,34,5,45,17,8
20833,0,0,11,28,2,7,11,1,1,7,0,7,1,0,1,0,1,0,5,1,7,3,2
20837,0,0,14,36,2,15,27,0,0,10,2,0,2,1,2,0,1,0,10,1,13,1,0
20838,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20841,0,0,13,38,1,8,9,0,2,6,3,0,2,0,1,0,0,1,7,1,12,4,2
20842,0,2,1,10,2,2,6,0,0,0,0,0,1,1,0,0,0,0,4,2,9,4,0
20850,25,13,144,635,40,164,156,21,13,166,6,37,35,45,17,2,26,4,136,25,162,208,91
20851,15,10,42,175,10,54,49,10,2,68,6,8,31,17,11,1,16,1,65,7,25,18,25
20852,23,5,81,768,42,95,140,6,12,138,4,19,21,21,12,0,14,3,195,21,96,108,19
20853,6,10,53,164,11,47,58,9,4,63,11,5,5,2,8,0,0,5,60,11,37,16,4
20854,9,4,74,238,6,46,111,1,4,53,3,2,7,2,10,1,1,7,48,11,75,54,8
20855,1,3,43,123,7,20,22,4,4,42,5,3,4,6,3,0,1,2,47,3,113,39,7
20860,3,0,4,19,2,5,3,0,0,8,1,0,1,0,1,0,0,0,2,0,9,2,1
20861,2,0,4,7,1,1,2,0,0,1,0,0,1,0,1,0,0,0,4,1,3,0,2
20862,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0
20866,13,7,45,161,5,39,27,11,0,76,6,4,11,10,4,0,2,2,33,6,29,12,7
20868,0,1,1,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,5,0,0
20871,4,2,17,109,3,28,26,6,3,19,3,12,6,4,6,0,2,0,32,6,22,12,5
20872,0,5,27,69,5,30,15,8,3,75,6,1,8,3,4,0,5,2,36,6,27,22,1
20874,28,28,103,617,55,209,219,20,21,396,19,53,12,24,27,0,14,5,173,18,153,79,33
20876,17,10,48,386,15,75,81,11,5,231,5,16,28,15,4,2,11,2,198,10,61,48,9
20877,22,26,145,731,35,210,137,16,17,218,17,29,91,44,19,1,16,1,229,12,103,90,21
20878,21,23,96,555,36,122,123,18,9,275,11,15,42,17,11,0,11,7,166,32,262,121,24
20879,17,10,53,304,19,68,82,10,4,138,8,24,18,12,8,1,5,2,67,10,63,41,10
20882,1,2,19,64,3,17,11,2,0,16,3,2,1,1,4,0,1,0,27,6,19,12,0
20886,45,20,59,301,34,118,115,17,8,202,12,34,18,28,6,0,20,3,66,28,67,43,10
20895,7,6,55,253,13,40,51,13,7,51,6,6,8,7,9,2,0,2,36,8,45,31,7
20896,0,0,4,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
20899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
20901,27,18,118,436,43,128,119,10,13,186,9,20,90,45,9,1,27,3,211,15,105,36,24
20902,54,35,112,1031,69,206,163,33,14,313,21,33,154,189,16,4,56,7,242,41,154,64,32
20903,31,8,104,195,39,70,82,8,9,109,14,23,20,19,3,2,5,0,102,14,54,15,17
20904,63,34,222,957,73,222,173,28,11,347,23,56,83,52,6,13,29,4,176,43,141,94,42
20905,2,1,46,96,5,39,30,4,2,32,2,4,8,1,6,2,1,3,32,3,29,7,5
20906,48,37,98,576,48,211,165,20,10,253,24,50,109,51,16,3,37,3,194,34,135,61,22
20910,82,38,158,1132,79,200,174,20,10,360,16,16,207,184,12,10,129,10,189,34,227,124,49
20912,47,18,132,405,64,95,141,12,4,109,6,27,15,41,10,2,7,4,43,21,60,10,26
