Month,ROB FIREARM - STREET,AGG ASSLT FIREARM CITIZEN,BURG FORCE-RES/NIGHT,LARCENY PICK POCKET,PROSTITUTION/VICE-SOLICIT/PANDER,AUTO THEFT - PASSENGER VEHICLE,ASSAULT & BATTERY - CITIZEN,Intimidation - On Citizen,ARSON - UNOCCUPIED STRUCT/OTH,FORGERY/CNTRFT-CHECKS,BAD CHECKS-LABOR/SERVICE $300+,EMBEZZLEMENT,STOLEN PROP-POSSES/BUY/RECEIVE,VANDALISM-MOTOR VEHICLE,WEAPON POSSESSION HANDGUN,SEX OFFENSE - SEX  ASSAULT,CDS-MANU-MARIJUANA/HASHISH,CDS-SELL-OPIUM & DERIVATIVES,CDS-SELL-COCAINE& DERIVATIVES,CDS-POSS DRUG OVERDOSE NOT FATAL,CDS RX FORGERY BARBITURATES/AMPHET,FAMILY OFFENSE - ABUSE/CHILD,JUVENILE RUNAWAY,LIQUOR - UNLAWFUL POSS UNDER 21,DISORDERLY CONDUCT,SUICIDE - POISON/OVERDOSE,HOME IMPROVEMENT VIOLATION,FAIL TO RETURN RENTAL PROPERTY,BOMB THREAT,IMPERSONATING POLICE OFFICER,BLACKMAIL/EXTORTION,FAIL PAY BOARD/LDG/FOOD/TAXI/SERVIC,FALSE STATEMNT/REPORT OF CRIME,FIRE CODE VIOLATION,EXPLOSIVE DEVICE,KIDNAPPING,FIREWORKS,ESCAPEE,WELFARE FRAUD,LITTERING/TRASH DUMPING,PORNOGRAPHY,RENTAL CAR VIOLATION,UNAUTH. USE OF MOTOR VEHICLE,SOLICITING/TRADE W/O LIC,ROGUE AND VAGABOND,TRESPASSING,THREATENING/ANNOYING PHONE CALL,HARASSMENT/STALKING,EX PARTE/PROTECT. ORDER VIOL.,FUGITIVE FROM JUSTICE(OUT OF STATE),ALL OTHER NON-TRAFFIC CRIM OFFENSES,DRIVING UNDER THE INFLUENCE,SUDDEN DEATH NATURAL,FIRE OTHER,ILL PERSON,DRUNK,POL INFORMATION,MENTAL TRANSPORT,MISSING PERSON,LOST PROPERTY,RECOVERED PROPERTY/MONT. CO.,FAMILY TROUBLE,SUSPICIOUS SIT/PERSON/VEHICLE,EMERGENCY SHELTER CARE,other,ANIMAL OFFENSE - ANIMAL NEGLECT,DWI,sum
1,67,23,219,968,1,63,232,0,3,234,9,5,1,197,26,9,295,2,23,1,0,19,34,60,53,23,1,0,1,0,2,5,2,0,0,1,1,0,0,2,0,2,12,1,0,45,21,9,13,17,19,226,70,50,2,0,205,152,61,156,42,3,1,0,382,3,0,4074
2,48,31,154,784,2,55,170,0,3,238,9,2,3,156,17,15,307,5,29,2,1,15,30,77,55,22,0,0,1,0,0,2,1,0,0,0,0,0,1,5,1,1,11,0,0,29,9,9,11,9,17,285,64,27,1,0,177,145,54,111,28,4,4,0,341,1,0,3579
3,34,30,160,898,2,42,210,0,0,292,9,6,3,201,24,17,350,9,27,1,1,20,37,87,98,21,0,0,0,1,0,5,2,1,0,1,1,0,0,4,3,1,7,1,1,44,21,10,18,11,21,305,69,37,3,1,224,161,60,143,48,0,0,0,388,0,2,4173
4,37,57,163,1014,3,73,224,0,1,308,5,4,2,285,32,12,366,10,38,0,2,33,48,80,96,31,2,0,4,0,0,7,4,0,0,0,0,0,0,5,5,0,15,0,0,43,18,9,9,18,18,265,67,44,3,3,246,165,60,124,49,1,5,0,409,2,0,4524
5,46,54,182,1228,1,79,265,0,3,212,9,6,0,283,41,23,324,6,30,3,2,16,55,83,94,30,1,0,1,0,0,6,2,0,1,1,0,0,0,3,0,1,18,1,1,31,26,8,9,14,16,267,61,40,1,2,248,207,74,154,63,3,5,0,454,0,0,4794
6,47,49,168,1163,1,72,215,0,5,227,6,4,1,293,23,23,300,11,22,1,1,19,50,93,86,22,0,0,0,0,0,2,0,0,1,0,1,0,0,5,1,0,14,2,2,45,16,7,9,18,27,205,67,50,0,0,229,164,63,156,49,1,1,1,454,0,0,4492
7,44,24,200,1010,6,71,201,0,8,204,3,6,0,244,29,20,262,1,31,3,1,18,58,128,63,19,0,1,2,2,1,6,7,0,3,0,0,0,1,7,0,2,11,0,2,35,14,9,25,6,10,202,49,22,1,0,176,110,50,105,47,1,1,0,295,1,0,3858
8,69,28,235,1089,7,87,244,0,2,236,7,5,4,268,30,10,281,4,32,1,0,26,37,127,78,25,0,1,1,0,1,9,7,0,2,0,2,0,0,3,1,0,7,3,0,36,11,11,13,16,15,271,53,32,2,4,227,132,64,123,56,1,1,0,400,0,0,4437
9,56,30,228,1061,5,68,271,0,6,214,10,8,2,248,23,22,287,11,20,1,1,20,51,115,95,32,1,0,2,0,1,6,5,0,0,1,1,0,0,5,3,0,9,2,1,36,10,9,21,6,22,294,56,45,2,1,229,149,49,119,64,2,3,0,407,1,0,4447
10,78,18,241,1146,6,77,256,0,4,240,8,4,0,226,34,12,318,4,30,0,0,23,46,119,79,17,0,0,2,0,3,3,6,0,0,1,0,0,0,2,1,1,11,4,0,35,17,8,22,6,22,282,47,42,2,1,218,132,84,129,44,1,3,0,440,2,0,4557
